"","Frequency","Max..ug.g.","Component.Name","CAS..","sample","tissue","name","species"
"111",0,0,"Etridazole","2593-15-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"112",0,0,"Phenothrin 1††","26002-80-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"113",0,0,"Profluralin","26399-36-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"114",0,0,"Azinphos-ethyl","2642-71-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"115",0,0,"Chloroneb","2675-77-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"116",0,0,"Norflurazon","27314-13-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"117",0,0,"Prodiamine","29091-21-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"118",0,0,"Chlorpyrifos","2921-88-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"119",0,0,"Pirimiphos-methyl","29232-93-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"120",0,0,"Phorate","298-02-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"121",0,0,"Disulfoton","298-04-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"122",0,0,"Fenchlorphos","299-84-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"123",0,0,"2,4'-Methoxychlor","30667-99-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"124",0,0,"Aldrin","309-00-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"125",0,0,"BHC, alpha-","319-84-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"126",0,0,"BHC, beta-","319-85-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"127",0,0,"BHC, delta-","319-86-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"128",0,0,"Procymidone","32809-16-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"129",0,0,"Linuron","330-55-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"130",0,0,"Fluchloralin","33245-39-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"131",0,0,"Diazinon","333-41-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"132",0,0,"Bromfenvinphos","33399-00-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"133",0,0,"Isopropalin","33820-53-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"134",0,0,"Prothiofos","34643-46-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"135",0,0,"Tetrachloroaniline, 2,3,5,6-","3481-20-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"136",0,0,"Sulprofos","35400-43-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"137",0,0,"Iprodione","36734-19-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"138",0,0,"Sulfotep","3689-24-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"139",0,0,"Fenpropathrin","39515-41-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"140",0,0,"Profenofos","41198-08-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"141",0,0,"Bupirimate","41483-43-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"142",0,0,"Tricyclazole","41814-78-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"143",0,0,"Isazophos","42509-80-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"144",0,0,"Oxyfluorfen","42874-03-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"145",0,0,"Isodrin","465-73-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"146",0,0,"Chlorfenvinphos 1††","470-90-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"147",0,0,"Nitralin","4726-14-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"148",0,0,"Bromophos-ethyl","4824-78-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"149",0,0,"DDT, p,p'-","50-29-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"150",0,0,"Vinclozolin","50471-44-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"151",0,0,"Dimethachlor","50563-36-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"152",0,0,"Chlorobenzilate","510-15-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"153",0,0,"Chlordane, cis-","5103-71-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"154",0,0,"Nonachlor, cis-","5103-73-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"155",0,0,"Chlordane, trans-","5103-74-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"156",0,0,"Hexazinone","51235-04-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"157",0,0,"Cypermethrin 1††","52315-07-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"158",0,0,"Pentachloroaniline","527-20-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"159",0,0,"Deltamethrin","52918-63-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"160",0,0,"Pyrimethanil","53112-28-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"161",0,0,"Endrin ketone","53494-70-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"162",0,0,"Ethalfluralin","55283-68-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"163",0,0,"Fenthion","55-38-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"164",0,0,"Chlorpyrifos-methyl","5598-13-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"165",0,0,"Ethion","563-12-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"166",0,0,"Parathion","56-38-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"167",0,0,"Coumaphos","56-72-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"168",0,0,"Tolclofos-methyl","57018-04-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"169",0,0,"Metalaxyl—","57837-19-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"170",0,0,"Acequinocyl","57960-19-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"171",0,0,"BHC, gamma-","58-89-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"172",0,0,"Terbacil","5902-51-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"173",0,0,"Terbutylazine—","5915-41-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"174",0,0,"Fluridone","59756-60-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"175",0,0,"Fenarimol","60168-88-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"176",0,0,"Chlorthiophos 1—††","60238-56-4 ","T.BULL.1",NA,"BT","Bufo Terrestris"
"177",0,0,"Pentachlorobenzene","608-93-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"178",0,0,"Methacrifos","62610-77-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"179",0,0,"Penconazole","66246-88-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"180",0,0,"Metazachlor","67129-08-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"181",0,0,"Prochloraz","67747-09-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"182",0,0,"Cyfluthrin 1††","68359-37-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"183",0,0,"Triflumizole","68694-11-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"184",0,0,"Flucythrinate 1††","70124-77-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"185",0,0,"Propanil","709-98-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"186",0,0,"Endrin","72-20-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"187",0,0,"Methoxychlor","72-43-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"188",0,0,"DDD, p,p'-","72-54-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"189",0,0,"Ethylan","72-56-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"190",0,0,"Tolylfluanid","731-27-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"191",0,0,"Phosmet","732-11-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"192",0,0,"Endrin aldehyde","7421-93-4","T.BULL.1",NA,"BT","Bufo Terrestris"
"193",0,0,"Heptachlor","76-44-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"194",0,0,"Flutriafol","76674-21-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"195",0,0,"Paclobutrazol","76738-62-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"196",0,0,"Tetramethrin 1††","7696-12-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"197",0,0,"Pyraclofos","77458-01-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"198",0,0,"Mevinphos ","7786-34-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"199",0,0,"Carbophenothion","786-19-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"200",0,0,"Fluazifop-P-butyl","79241-46-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"201",0,0,"Tefluthrin","79538-32-2","T.BULL.1",NA,"BT","Bufo Terrestris"
"202",0,0,"Chlorfenson","80-33-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"203",0,0,"Etofenprox","80844-07-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"204",0,0,"Clomazone","81777-89-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"205",0,0,"Quintozene—","82-68-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"206",0,0,"Chlozolinate","84332-86-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"207",0,0,"Flusilazole","85509-19-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"208",0,0,"Azinphos-methyl","86-50-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"209",0,0,"Propisochlor","86763-47-5","T.BULL.1",NA,"BT","Bufo Terrestris"
"210",0,0,"Myclobutanil","88671-89-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"211",0,0,"Cyhalothrin, lambda-","91465-08-6","T.BULL.1",NA,"BT","Bufo Terrestris"
"212",0,0,"Allidochlor","93-71-0","T.BULL.1",NA,"BT","Bufo Terrestris"
"213",0,0,"Fonofos","944-22-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"214",0,0,"Pyriproxyfen","95737-68-1","T.BULL.1",NA,"BT","Bufo Terrestris"
"215",0,0,"Diphenamid","957-51-7","T.BULL.1",NA,"BT","Bufo Terrestris"
"216",0,0,"Endosulfan I","959-98-8","T.BULL.1",NA,"BT","Bufo Terrestris"
"217",0,0,"Pyridaben","96489-71-3","T.BULL.1",NA,"BT","Bufo Terrestris"
"218",0,0,"Dicloran","99-30-9","T.BULL.1",NA,"BT","Bufo Terrestris"
"219",18,0.278051271,"DDE, o,p'-","3424-82-6","T.BULL.5",0.010735719,"BT","Bufo Terrestris"
"220",10,0.019802372,"Alachlor—","15972-60-8","T.BULL.5",NA,"BT","Bufo Terrestris"
"221",10,0.014642718,"Biphenyl","92-52-4","T.BULL.5",0.00268393,"BT","Bufo Terrestris"
"222",9,0.024404529,"Malathion","121-75-5","T.BULL.5",NA,"BT","Bufo Terrestris"
"223",5,0.086534301,"Diphenylamine","122-39-4","T.BULL.5",0.008051789,"BT","Bufo Terrestris"
"224",5,0.03646574,"DDT, o,p'-","789-02-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"225",3,0.030944783,"Endosulfan sulfate","1031-07-8","T.BULL.5",0.010735719,"BT","Bufo Terrestris"
"226",2,0.021880402,"Mirex","2385-85-5","T.BULL.5",NA,"BT","Bufo Terrestris"
"227",2,0.213824126,"Flutolanil","66332-96-5","T.BULL.5",NA,"BT","Bufo Terrestris"
"228",1,0.04107226,"Tebuconazole","107534-96-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"229",1,0.015376667,"2-Phenylphenol","90-43-7","T.BULL.5",NA,"BT","Bufo Terrestris"
"230",1,0.043760803,"Triadimenol","55219-65-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"231",1,0.014642718,"Bifenthrin","82657-04-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"232",1,0.018665771,"Nonachlor, trans-","39765-80-5","T.BULL.5",NA,"BT","Bufo Terrestris"
"233",1,0.018665771,"Chlordane","57-74-9","T.BULL.5",NA,"BT","Bufo Terrestris"
"234",1,0.014429459,"DDE, p,p'-","72-55-9","T.BULL.5",NA,"BT","Bufo Terrestris"
"235",1,0.039858105,"Dichlorobenzophenone, 4,4'-","90-98-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"236",1,0.010735719,"DDD, o,p'-","53-19-0","T.BULL.5",0.010735719,"BT","Bufo Terrestris"
"237",0,0,"Metolachlor","51218-45-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"238",0,0,"Acetochlor","34256-82-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"239",0,0,"Atrazine","1912-24-9","T.BULL.5",NA,"BT","Bufo Terrestris"
"240",0,0,"N-(2;4-Dimethylphenyl)formamide","60397-77-5","T.BULL.5",NA,"BT","Bufo Terrestris"
"241",0,0,"Pendimethalin","40487-42-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"242",0,0,"Anthraquinone","84-65-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"243",0,0,"Chlorothalonil","1897-45-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"244",0,0,"Triadimefon","43121-43-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"245",0,0,"Tetrahydrophthalimide","1469-48-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"246",0,0,"Endosulfan II","33213-65-9","T.BULL.5",NA,"BT","Bufo Terrestris"
"247",0,0,"Permethrin, trans-","61949-77-7","T.BULL.5",NA,"BT","Bufo Terrestris"
"248",0,0,"Dichloroaniline, 3,4'-","95-76-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"249",0,0,"Fipronil","120068-37-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"250",0,0,"Methyl parathion","298-00-0","T.BULL.5",NA,"BT","Bufo Terrestris"
"251",0,0,"Cyprodinil","121552-61-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"252",0,0,"Endosulfan ether","3369-52-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"253",0,0,"Dieldrin ","60-57-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"254",0,0,"Chloropropylate","5836-10-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"255",0,0,"Lenacil","2164-08-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"256",0,0,"Fludioxonil","131341-86-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"257",0,0,"Pretilachlor","51218-49-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"258",0,0,"Fenson","80-38-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"259",0,0,"Bioallethrin—","584-79-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"260",0,0,"Piperonyl butoxide","51-03-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"261",0,0,"Permethrin, cis-—","61949-76-6","T.BULL.5",NA,"BT","Bufo Terrestris"
"262",0,0,"Fenvalerate 1††","51630-58-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"263",0,0,"Acrinathrin","101007-06-1","T.BULL.5",NA,"BT","Bufo Terrestris"
"264",0,0,"Chlorpropham","101-21-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"265",0,0,"Imidacloprid-D4","1015855-75-0","T.BULL.5",NA,"BT","Bufo Terrestris"
"266",0,0,"Heptachlor epoxide","1024-57-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"267",0,0,"tau-Fluvalinate 1††","102851-06-9","T.BULL.5",NA,"BT","Bufo Terrestris"
"268",0,0,"Chlorbenside","103-17-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"269",0,0,"Resmethrin 1††","10453-86-8","T.BULL.5",NA,"BT","Bufo Terrestris"
"270",0,0,"Dichlofluanid","1085-98-9","T.BULL.5",NA,"BT","Bufo Terrestris"
"271",0,0,"Pebulate","1114-71-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"272",0,0,"Cycloate","1134-23-2","T.BULL.5",NA,"BT","Bufo Terrestris"
"273",0,0,"MGK 264 1††","113-48-4","T.BULL.5",NA,"BT","Bufo Terrestris"
"274",0,0,"Endosulfan","115-29-7","T.BULL.5",NA,"BT","Bufo Terrestris"
"275",0,0,"Tetradifon","116-29-0","T.BULL.5",NA,"BT","Bufo Terrestris"
"276",0,0,"Tecnazene","117-18-0","T.BULL.5",NA,"BT","Bufo Terrestris"
"277",0,0,"Transfluthrin","118712-89-3","T.BULL.5",NA,"BT","Bufo Terrestris"
"278",0,0,"Hexachlorobenzene","118-74-1","T.BULL.5",NA,"BT","Bufo Terrestris"
